trial,k,dash_p99,redis_p99,dash_faster
0,1,4.037541999999999,5.281232,True
0,5,3.886038,5.200168,True
0,10,4.213566,5.119895,True
0,20,4.067486,5.709366999999999,True
0,50,3.774104,5.197444,True
1,1,3.981074,7.567183999999999,True
1,5,2.135312,3.537156,True
1,10,4.1365229999999995,5.458367,True
1,20,4.621347,5.325856,True
1,50,4.007581,6.813096,True
2,1,4.075321999999999,5.767776,True
2,5,4.167531,5.811992999999999,True
2,10,4.211944,5.549862999999999,True
2,20,4.264827,5.835527,True
2,50,4.087923,5.842874,True
3,1,4.144837,6.13829,True
3,5,4.342041,6.086901,True
3,10,4.261847,5.451595999999999,True
3,20,4.178356,5.4850389999999996,True
3,50,4.161224999999999,5.998574,True
4,1,4.565246,5.38619,True
4,5,4.158057,5.689413,True
4,10,4.711504,6.433494,True
4,20,4.540813,5.568543,True
4,50,4.169142,7.312003999999999,True
