model,trial,k,dash_p99,redis_p99,dash_faster
RandomForest,0,1,3.8510869999999997,5.473315999999999,True
RandomForest,0,5,8.863012,7.381862999999997,False
RandomForest,0,10,5.563702999999999,6.6723859999999995,True
RandomForest,0,20,4.68404,14.839272,True
RandomForest,0,50,5.961333,9.802435999999998,True
RandomForest,1,1,9.973108,11.380161,True
RandomForest,1,5,4.943527,6.4923779999999995,True
RandomForest,1,10,5.710182,8.105465,True
RandomForest,1,20,4.556405,7.422375,True
RandomForest,1,50,4.724670999999999,6.156668,True
RandomForest,2,1,4.476705,6.655807,True
RandomForest,2,5,4.137334999999999,7.133485,True
RandomForest,2,10,6.849233,7.516879,True
RandomForest,2,20,6.444090999999999,7.698245999999999,True
RandomForest,2,50,7.020157,7.239428,True
RandomForest,3,1,9.251066999999999,5.698297,False
RandomForest,3,5,4.18671,4.863173999999999,True
RandomForest,3,10,7.221664,6.591185,False
RandomForest,3,20,7.755554999999999,6.483319999999999,False
RandomForest,3,50,5.381737999999999,6.171025,True
RandomForest,4,1,6.29899,8.160624,True
RandomForest,4,5,5.906309,10.815804,True
RandomForest,4,10,8.330461999999999,4.850321,False
RandomForest,4,20,3.2470579999999996,9.762882999999999,True
RandomForest,4,50,9.756043,6.361827,False
Logistic,0,1,2.3799789999999996,3.17604,True
Logistic,0,5,2.098423,3.269597,True
Logistic,0,10,1.5838299999999996,2.8785309999999997,True
Logistic,0,20,1.880524,3.732325,True
Logistic,0,50,1.6029229999999999,2.959902,True
Logistic,1,1,3.3051079999999997,3.1585769999999997,False
Logistic,1,5,1.6598149999999996,2.3912859999999996,True
Logistic,1,10,1.6944119999999998,2.8051749999999998,True
Logistic,1,20,1.785822,3.186165,True
Logistic,1,50,2.6721399999999997,3.142411,True
Logistic,2,1,1.566271,2.7581369999999996,True
Logistic,2,5,1.5456050000000001,2.054181,True
Logistic,2,10,1.6248619999999998,2.7079869999999997,True
Logistic,2,20,2.345873,3.475389,True
Logistic,2,50,1.965335,3.1990269999999996,True
Logistic,3,1,1.4082199999999998,2.784207,True
Logistic,3,5,1.490573,2.621735,True
Logistic,3,10,1.675165,2.4275990000000003,True
Logistic,3,20,1.5470849999999998,2.5515879999999997,True
Logistic,3,50,1.639714,4.025687999999999,True
Logistic,4,1,2.000932,3.4435619999999996,True
Logistic,4,5,1.98138,3.5129939999999995,True
Logistic,4,10,1.7281549999999997,2.8278769999999995,True
Logistic,4,20,1.682078,3.018307,True
Logistic,4,50,1.8183469999999995,3.3395449999999998,True
