model,engine,run_id,k,base_symbols,n_warmup,n_measure,p50_ms,p95_ms,p99_ms,mean_ms,ops_per_sec,stage2_hit_rate
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,3,"btcusdt,ethusdt,solusdt",200,2000,2.8015,4.271589999999999,7.2150849999999975,3.01937285,328.20643699138515,0.1425
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,3,"btcusdt,ethusdt,solusdt",200,2000,3.94125,5.620285,8.895635999999998,4.2088117,235.94708594017072,0.1425
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,6,"btcusdt,ethusdt,solusdt",200,2000,2.6195000000000004,3.739459999999999,4.222377,2.6906983,368.25842195967397,0.165
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,6,"btcusdt,ethusdt,solusdt",200,2000,3.8895,5.369,6.449214999999999,3.975639,249.7212798364407,0.165
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,9,"btcusdt,ethusdt,solusdt",200,2000,3.1300499999999998,4.845934999999999,7.0594399999999995,3.3360974999999997,297.02400510879903,0.161
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,9,"btcusdt,ethusdt,solusdt",200,2000,4.2219999999999995,5.871535,7.267589999999999,4.3417666,228.73628338553684,0.161
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,15,"btcusdt,ethusdt,solusdt",200,2000,2.3426,4.175445,6.044492999999999,2.56372065,385.9744228260748,0.16
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,15,"btcusdt,ethusdt,solusdt",200,2000,2.2786999999999997,3.5138149999999997,5.912088,2.4456604000000004,405.12134964396483,0.16
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,30,"btcusdt,ethusdt,solusdt",200,2000,2.4531,3.41571,3.9385839999999996,2.5723414499999997,385.0386086876516,0.14
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,30,"btcusdt,ethusdt,solusdt",200,2000,4.25845,5.671695,6.388882999999998,4.25191785,233.61859409631217,0.14
XGBoost,A_Proposed_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,50,"btcusdt,ethusdt,solusdt",200,2000,2.4318,3.758495,5.476679999999998,2.6409141,375.1218653715432,0.1665
XGBoost,B1_RedisFetch_MixedSymbols,MIXED_XGBoost_H30_a2_L94_W30_tau0.6731,50,"btcusdt,ethusdt,solusdt",200,2000,3.6427,4.865005,5.432262,3.69591615,268.6065900182671,0.1665
