trial,seed,k,dash_mean,redis_mean,diff,dash_slower
0,200,10,1.77511275,2.71229465,-0.9371819000000001,False
0,200,20,1.3198143500000001,2.01118855,-0.6913741999999998,False
0,200,50,1.3460219000000002,1.9002263499999998,-0.5542044499999996,False
1,223,10,1.3145587500000002,1.9910978,-0.6765390499999997,False
1,223,20,1.4392255,3.2783638500000003,-1.8391383500000003,False
1,223,50,2.18601455,3.74980875,-1.5637942000000002,False
2,246,10,2.46656685,3.3757485000000003,-0.9091816500000003,False
2,246,20,2.51955075,3.31750075,-0.7979500000000002,False
2,246,50,2.50887015,3.26627755,-0.7574074,False
3,269,10,2.5021009999999997,3.3438708999999998,-0.8417699000000001,False
3,269,20,2.53842945,3.9223371,-1.3839076499999998,False
3,269,50,2.64564635,2.8621944000000004,-0.21654805000000055,False
4,292,10,2.53314035,3.4160169999999996,-0.8828766499999996,False
4,292,20,2.41156555,3.4631580000000004,-1.0515924500000002,False
4,292,50,2.8565858,3.4997727,-0.6431868999999999,False
